# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Oct 22 10:37:13 AST 2024 [seed=12345]
# -seed 12345 -overwrite -working -threads 32 /ibex/project/c2205/zhouge/MRSA2/local_reference/FASTA_NEW/FASTA_city/ST5/ST5_beast5.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	default.clock.rate	cities.clock.rate	default.meanRate	cities.meanRate	cities.rates.AlJowf.AlMaddinah	cities.rates.AlJowf.AlQassim	cities.rates.AlJowf.Algryat	cities.rates.AlJowf.Bishah	cities.rates.AlJowf.Dammam	cities.rates.AlJowf.Jazan	cities.rates.AlJowf.Jeddah	cities.rates.AlJowf.Najran	cities.rates.AlJowf.Riyadh	cities.rates.AlJowf.Tabarjal	cities.rates.AlJowf.Taif	cities.rates.AlMaddinah.AlQassim	cities.rates.AlMaddinah.Algryat	cities.rates.AlMaddinah.Bishah	cities.rates.AlMaddinah.Dammam	cities.rates.AlMaddinah.Jazan	cities.rates.AlMaddinah.Jeddah	cities.rates.AlMaddinah.Najran	cities.rates.AlMaddinah.Riyadh	cities.rates.AlMaddinah.Tabarjal	cities.rates.AlMaddinah.Taif	cities.rates.AlQassim.Algryat	cities.rates.AlQassim.Bishah	cities.rates.AlQassim.Dammam	cities.rates.AlQassim.Jazan	cities.rates.AlQassim.Jeddah	cities.rates.AlQassim.Najran	cities.rates.AlQassim.Riyadh	cities.rates.AlQassim.Tabarjal	cities.rates.AlQassim.Taif	cities.rates.Algryat.Bishah	cities.rates.Algryat.Dammam	cities.rates.Algryat.Jazan	cities.rates.Algryat.Jeddah	cities.rates.Algryat.Najran	cities.rates.Algryat.Riyadh	cities.rates.Algryat.Tabarjal	cities.rates.Algryat.Taif	cities.rates.Bishah.Dammam	cities.rates.Bishah.Jazan	cities.rates.Bishah.Jeddah	cities.rates.Bishah.Najran	cities.rates.Bishah.Riyadh	cities.rates.Bishah.Tabarjal	cities.rates.Bishah.Taif	cities.rates.Dammam.Jazan	cities.rates.Dammam.Jeddah	cities.rates.Dammam.Najran	cities.rates.Dammam.Riyadh	cities.rates.Dammam.Tabarjal	cities.rates.Dammam.Taif	cities.rates.Jazan.Jeddah	cities.rates.Jazan.Najran	cities.rates.Jazan.Riyadh	cities.rates.Jazan.Tabarjal	cities.rates.Jazan.Taif	cities.rates.Jeddah.Najran	cities.rates.Jeddah.Riyadh	cities.rates.Jeddah.Tabarjal	cities.rates.Jeddah.Taif	cities.rates.Najran.Riyadh	cities.rates.Najran.Tabarjal	cities.rates.Najran.Taif	cities.rates.Riyadh.Tabarjal	cities.rates.Riyadh.Taif	cities.rates.Tabarjal.Taif	default.treeLikelihood	default.branchRates	cities.branchRates	cities.treeLikelihood	coalescent
0	-338664.2762502694	-253.229845451454	-338411.0464048179	6.175438830506579	2018.215271552007	36.09747724582787	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-338160.6118822054	0.0	0.0	-250.4345226124666	-117.40278348979393
500000	-65345.24734978076	-980.6931784102485	-64364.55417137051	69.45413424263272	1954.9365761398808	1586.7886514971055	432.884902792858	4.601180670127112	0.24084911911393664	0.25679185416809025	0.252855545320373	0.24950348139759942	6.69035408923339E-4	0.010282099506826391	6.690354089233396E-4	0.01028209950682639	0.4195265674478029	1.9061702731974228	0.18807217919926472	0.03863332085362801	1.3075044467672232	0.1365243168211546	0.18222212872787447	1.71576063292532	1.5306957731251767	0.7395848502987311	0.20531487152103806	0.7113425110715026	1.5247193177202667	2.160297949578219	0.11982804429521979	0.8794326300635207	3.132178182464532	0.05592489246256203	1.27877887716198	0.7841724975049956	0.6849623850819965	0.13752143767213637	0.23697268208596475	2.792500915695762	0.8544234359245847	0.5632814789853183	1.1336053531299706	0.38177158508837145	1.6008761615568363	1.429838936426517	0.9043272735638349	0.664306640662263	0.4349421729795067	1.240112204443798	3.528833696131759	0.577886484224822	0.027561458006122277	0.8211447212313562	0.5773070589202981	1.1625650425729546	0.48566095912069834	0.2351441493998222	0.13581571721274827	0.5625296118955518	0.034786126206644986	1.749596319935962	1.0843986103611076	0.6093676672361685	0.7371347087588296	0.06237092250409912	0.3253264896889157	2.011015039432975	0.01804173747233674	0.7364775300825698	0.776219740385943	0.26188978207238084	1.3595345812516928	6.553520388393014	1.0865713093552127	1.3540348907485527	0.5287697638504053	0.4912640166976711	0.5257450433623514	0.6126138682654807	0.3046846216576521	0.14413731524066253	-64165.46368247091	0.0	0.0	-199.0904888996018	-906.8904662158278
1000000	-65374.58209775531	-990.8888883341642	-64383.693209421144	72.50929057833449	1951.8814198041791	1671.4511058278165	403.5414569252642	4.52955226492804	0.2559915013733091	0.24833589739788692	0.2556764628267609	0.23999613840204317	6.362135141496236E-4	0.012456009829973696	6.362135141496231E-4	0.012456009829973694	0.8457040316146509	0.46594158096084937	0.07317369739215651	0.506729855056937	0.15585758918714152	0.3994443444985272	1.040636346250656	0.9753339690527919	0.6666686842042739	0.7642086348413162	1.2794746408181017	0.025125329375441756	1.684917487312227	0.13972015517892064	0.7163164686894727	0.5360033428023429	0.3235480356627691	0.8932571341597866	1.3043091314702084	0.2746026895703295	0.5167318817575262	0.9032775691579288	1.448255505357366	1.9195210611639622	0.13551245920325686	1.3805233247510076	0.3434529265845886	0.913734844086894	0.3827609007053767	0.37148435670270286	0.09461517209844073	0.17687083215546404	0.42120531050119553	1.8145406124469872	0.3227049795196027	0.10268013111715801	0.6024531724694909	0.48574702554968735	2.423344332787668	1.0509853267033373	1.2687758624801433	2.6732175215632568	0.541350464650114	0.32816392511833026	0.0999110209155984	0.0852759900077512	0.9742052574201199	1.930537046299107	1.8001731856837817	0.6238238528893645	0.04075864216536826	1.590537263439921	0.1363040127363894	0.7004366308426309	1.6138638326296386	0.13451387396865733	2.6614551322449205	8.463319446721345	0.684616083762767	0.866742182011831	0.2705999485065484	0.39073178665403097	0.015741031177508105	1.0545649104362844	0.8488005804144433	0.9466451166178693	-64192.844433527505	0.0	0.0	-190.84877589363737	-914.5842589967539
1500000	-65373.985933059994	-986.4023607640784	-64387.58357229592	72.63962393523082	1951.751086447283	1609.6857923305492	429.09539081100695	4.541456218013593	0.23917393894065417	0.25647542339952956	0.25204593926097785	0.2523046983988376	6.593827007925088E-4	0.009402707554246667	6.593827007925093E-4	0.009402707554246664	0.6080769337408167	0.4185125361876652	0.04894745715408831	0.020249509393894596	0.4514409802995546	0.22343716445632783	0.4602812432438375	0.3266877521122832	0.7074023014648263	0.68533229446861	0.4520818482727847	0.09510270381846234	0.5327895301171764	0.6545293230603223	1.336676497058229	0.7173958508193422	1.1689529447219196	0.6869900550702606	0.5505708328326807	0.8451220966385083	1.783418399677507	1.1917876250464552	0.6982294543461474	0.6776675066978585	0.2991114361854224	0.7267328397396098	0.7303673816438875	1.9051851666741144	0.15129496075252566	3.0309982544173106	0.17841747261551283	0.921589901036122	1.265269391616675	0.9708168046700723	1.0990799975032257	0.9085588671849569	0.9036376032734683	2.0876313978587286	0.0120947292408991	0.5366622542667345	0.30727843302282987	0.07500630076201541	1.2982507789902937	0.09791013633562518	1.2075872458705041	0.21120097067065924	1.4454515877114433	1.0466270571530851	0.28267860072901974	0.513777923306241	0.35857739723665416	1.8072052899938356	0.6938668050454309	0.9802618923607448	1.844975462409984	0.03697704915371743	1.6137119970595928	10.14824884694911	0.029746882137006783	2.208094519047112	1.2914174916132375	1.3499379561209683	2.855619798420216	0.2142783114411541	3.5619876541148963	1.1424879584830612	-64192.10719724816	0.0	0.0	-195.47637504775466	-907.7382628068439
2000000	-65353.500983316444	-974.5184542495781	-64378.98252906687	65.56005436259879	1958.8306560199148	1484.8230512577118	407.37141771883256	4.534092824589477	0.2500157594657882	0.24884931353699916	0.24796813714036253	0.25316678985684926	7.162158811137215E-4	0.011271812801348358	7.162158811137218E-4	0.011271812801348365	0.40137099988062414	0.08775274580223216	1.0406268526451687	0.7962488739529489	0.34773989136830225	0.6188351450871612	1.8164505876785133	0.16522241275699232	0.23619890439322694	1.4023916088719381	1.8003481227340765	0.6698837052507923	0.865146423328335	0.16381597306100826	0.09568698039429699	0.9005816571320883	1.9525882362342701	2.1260731431249456	1.3536263034558165	2.0222834850576645	1.1005464375512055	1.155172019222859	0.4102689202123445	1.0015101470981238	0.32334849663624066	0.8734056816785295	1.136242087806697	0.006492161329941379	1.822175772917007	0.4102471731056189	0.028777684375487028	0.1341420336710298	0.1804164102882009	2.108776500504138	0.5890477005874208	0.26081717434536733	1.8230560334436257	1.148325149106605	0.8341642491806399	0.08164475656899052	0.32648881559686144	0.23830961730974085	0.15364831350056407	2.4378120913098797	0.6309223953316924	1.1972076291314888	4.60633633735377	1.8016017540776312	0.3479687972022321	0.19097851208929142	0.8564325211777482	1.2322292620945856	0.2518712784252068	0.3744476140904567	1.1942375009797568	1.4036033244666526	1.2082994432078276	8.926438444451797	0.5198169136806586	1.4694302666454317	0.20695082396315792	0.7413361733735392	1.1396305480063003	0.030445602547335207	0.13176379670159805	0.40770887422524155	-64183.98680266403	0.0	0.0	-194.99572640283358	-895.4673619132642
2500000	-65353.69126084286	-991.9488903960031	-64361.74237044686	74.28228889278117	1950.1084214897323	1669.8629539816668	410.80037279052993	4.52526326940821	0.24522223617762715	0.24886276396852297	0.2539988133759006	0.25191618647794745	6.466238766845071E-4	0.010801208355321588	6.466238766845079E-4	0.01080120835532159	0.44508726065634435	0.6495029539772088	0.10590457106072813	1.043156752412518	0.11372464098575463	0.5125648820949211	0.4965229777314841	0.22238370929464463	0.2531822547311376	0.027221721084813133	0.016459234650349083	1.533668877809808	0.6008349312627173	0.8245391060319326	1.6582083095301248	0.6009406096844263	0.5783592014303037	3.161002077132709	0.47718950550630046	2.1360830698684596	1.1059174606641902	0.21084848530240619	0.42401552303223894	2.0075690263077375	0.6021690888478116	1.0614484785490634	0.1153607616743571	0.24621954081107744	0.8461458338831687	0.01546599615926132	0.10248125794263584	0.6817309108215182	0.8639481248419436	2.6555616340058115	0.5957803056223125	0.15161221014790555	0.09202324752690622	0.950680265463455	1.1382515703974425	0.7115905232560955	0.3186395352271398	0.4418075902415651	0.29431904171202994	0.8581414439464877	0.4705289072152542	1.4050012734783286	1.5287498148702856	0.9331306524674148	1.2478517035129875	0.6151510119960255	0.6969222335250985	2.288010995884637	1.2256983636190135	0.31438854605536026	1.0479775311379262	0.17267516505068808	1.3835488460062364	10.890513827187748	0.0016963280901005461	2.6027806674522904	0.10970851978021132	0.17360364984526322	2.5430075483057437	1.8850393707583544	0.4022886059453001	3.4270724136004667	-64167.62215953601	0.0	0.0	-194.12021091085143	-910.7694254807212
3000000	-65314.39396114715	-963.5074780765735	-64350.88648307058	65.90522365312319	1958.4854867293905	1479.455525717577	350.15787508267834	4.705904793843315	0.2495009284321226	0.2533750809823244	0.2540243537402338	0.24309963684531893	7.110331576797437E-4	0.012016162597529523	7.110331576797442E-4	0.012016162597529538	0.06953555990467852	1.5472285135579318	1.1333230565779338	0.06933373572483836	0.4068655489379042	0.7080668187071927	1.4202246505951648	2.346080682590674	0.4608244145786036	1.812265530011423	0.05521746867397336	0.7087831005078392	0.9184555861270216	0.5374017814212646	0.20403171844762336	0.8670769125869798	2.3944784897547438	0.6054975870583005	0.08728856553314948	0.5723962767241909	0.6526338577422676	1.1455044520590245	0.2799840826881302	1.1473230530047474	2.2051025866350664	0.5197237733829185	0.8175614648019103	0.15042284436995895	0.9114242356080751	0.06515395332633137	0.00937801862830575	0.03173939823970376	1.037999091533521	2.076581058746867	2.3471508584461076	0.09371296784528114	0.9155865000644605	1.327483088332027	0.6431852967750256	0.30281456119303884	0.7900437318433868	0.07227434142503276	0.24187846818883335	0.3290168409654941	0.2923622907430308	0.1774497349021002	1.0488308819465622	1.8326649015394345	1.1258307042310467	0.843515314800174	0.27282125446841604	0.4707323028905633	0.5348889709814733	0.6029789440098997	0.5747651871546187	0.40222114825620947	0.8484096535663751	4.119505788792266	0.5878983646249208	1.9453505567243812	0.6928128959458715	0.19112794257377355	1.0354409802235547	0.5648384912034701	0.712250851141042	1.651930138104334	-64149.49161726629	0.0	0.0	-201.3948658042848	-894.2474135624183
3500000	-65361.40982978158	-1012.9120251619004	-64348.49780461968	85.49070469356951	1938.900005688944	1872.3422871878217	467.87525426667526	4.683730733616241	0.2423565063668641	0.2497264054130084	0.2597608528266977	0.24815623539342857	5.711710869527638E-4	0.010779867144509037	5.711710869527642E-4	0.010779867144509035	1.0209051966934064	0.9979150054466953	0.5560015079680857	0.9419127220509401	0.41250584734331136	0.32170757915392106	1.0574917957599446	0.3330116133514241	0.5115636434661005	0.769280162894579	1.3908133819835675	0.30700270689619047	0.47021495045623146	0.2916065386052697	1.7510279029431466	2.8661292420477973	1.3591689857623508	0.3013571312321996	0.08272972339786704	1.1502253995699931	0.32511047004864774	0.5481678590927985	0.7123499441643392	0.3921984466761607	1.1723316393190233	0.13384592835178985	0.09470145981104808	0.3592509770969094	0.04583478774998187	1.5956569857393799	0.8153719164850924	0.15194583409333567	0.33336058262368773	3.2752865636026702	0.23675882468470597	0.5434277963661303	1.2997296037845338	0.05838438263788721	0.1283227730831835	1.3250388844285184	0.0072175610922346	0.17171439505845523	0.6765176142100742	1.296401169657417	0.4843008639517091	1.9839353011322551	1.624358414375046	0.39398926879925916	0.1671953682785531	0.4480141173114181	2.79953909001562	1.8698893636470297	2.1368572887949004	2.034564010544477	0.6919167897576904	0.08513206934618849	1.6935822378358123	9.990512629293779	1.2637846149559346	3.075319990929842	0.5655109439634666	0.8462180101967713	0.30948180344979204	0.20748571381012765	2.3824325114683966	1.2304795454193407	-64156.85800839787	0.0	0.0	-191.63979622181327	-928.0348110298568
4000000	-65343.63125316864	-960.1854657948066	-64383.445787373836	65.04716232593412	1959.3435480565795	1413.6561850203318	297.6831633324964	4.770904424566418	0.24632369434547607	0.24628777641915803	0.25756539363701164	0.24982313559835367	7.415893393688388E-4	0.010028697995478817	7.41589339368839E-4	0.010028697995478822	1.9269216340928657	0.10312151702913552	0.503214475790016	0.2448646987936034	1.0115021648376001	0.1043734331724121	0.39293785503775785	0.034443710623452146	0.38855214201330934	0.0033541978863611223	1.1623360681881445	0.04043301624861679	0.8048001038904591	0.02427091372267379	0.013297572945925554	0.6303758072300375	0.48936306784883077	1.186301668333235	0.9222976613657763	0.7258389180771	0.8205238007440009	0.491030776101758	0.34590628261733297	0.5860506697204303	0.4746850687488506	0.9210202252283065	0.3814186538890846	0.53331399455947	1.672043199517467	0.38711692625692606	0.9325972208239848	2.3386617456024887	1.6438618267099079	2.360091481165235	0.11897873302117241	0.06535569017224632	0.6808938359451615	0.08813744909650956	0.0830051339312313	3.4230763926544547	0.1520774290582241	0.011965480326830683	0.431328057564048	1.844904810326876	0.31707571254973593	2.1339504512151617	1.8499652044219286	0.13969737976425847	0.6815622432503201	0.11483651158141488	0.05373166951179252	2.595049686732604	0.3600370961532749	1.1725970845742792	0.3891580399425137	0.07759349556452744	2.713118730820767	11.022853307393865	3.586162296917854E-5	2.5436290897556426	0.023135110572349134	1.2732300201117026	0.4726804203774481	1.2750617123692116	0.43209438267462247	0.9215995342294449	-64185.29799252187	0.0	0.0	-198.14779485196652	-888.2002075797657
4500000	-65340.70884492208	-967.0599780615253	-64373.64886686056	63.957651183059625	1960.433059199454	1414.5981376869186	314.3782876532534	4.729562625721133	0.24562921694658899	0.2536947578667466	0.25528958283738223	0.2453864423492809	7.55860421868155E-4	0.013786799898751227	7.558604218681545E-4	0.013786799898751203	1.7781730873827735	0.13649370461226046	0.7372347927632112	0.2897639684536572	0.36473479942137815	0.2358639875260955	0.1445453801651006	0.4706451921857791	0.012470903544637925	0.4505264657836788	0.2215921414114605	0.77074373334936	1.1685823017485921	0.9318833469124129	0.6146102853773628	0.5033398409295655	0.1970160025005413	1.1190008360609407	1.0227727508954447	0.20515416528454217	1.029292819939628	1.4323349649616874	0.9302819250608938	0.2779136200705084	2.6053323015859093	0.10777490100525147	0.1379083703279723	0.12156741985714624	0.27297906436396074	0.07443781690718738	0.5165906429540134	0.3374344461128032	1.1015560346408348	1.0399040905230739	2.1558884556293014	1.60817943808172	0.15701101064121262	1.9359182986222268	1.6946837710730518	0.48485935942959496	0.3310606475600943	0.21694776937170843	0.50815976638432	0.7654142242946498	1.7503763880868846	0.09438640619694677	2.115913931079435	0.8796468650554187	0.7300847419262865	0.06698654679835084	0.7247606345066647	1.750785278398561	0.5989136948731609	0.9949994572585072	2.1779044456660293	0.0029221963851655715	5.501115405509272	6.946063231785735	2.604712748013834	2.0822753540704464	0.35504858146791496	2.019856348898968	0.015536822249152378	0.24934787114712453	0.08887572664182822	0.5698554857108178	-64175.991075785016	0.0	0.0	-197.65779107554425	-888.0418243140305
